Original Category,Mapped Category
Day Care and Child Care Centers,Personal Services
Embroidery Services,Personal Services
Funeral Businesses,Personal Services
Funeral Homes,Personal Services
Gyms and Fitness Centers,Personal Services
Health And Fitness Clubs,Personal Services
"Health Clubs, Fitness Centres, Spas",Personal Services
Locksmiths,Personal Services
Massage Businesses,Personal Services
Other Personal Service Businesses,Personal Services
Personal Services,Personal Services
Photographic Service Businesses,Personal Services
Photography Studios,Personal Services
Preschools,Personal Services
Locksmiths,Personal Services
Massage Businesses,Personal Services
Other Personal Service Businesses,Personal Services
Personal Services,Personal Services
Photographic Service Businesses,Personal Services
Photography Studios,Personal Services
Preschools,Personal Services
Spas,Personal Services
Tailors,Personal Services
"Tailors, Tailoring",Personal Services
Tanning Salons,Personal Services
Pest control,Pest control
Pest control,Pest control
Boarding Kennels,Pet Service Businesses
Dog Daycare and Boarding Businesses,Pet Service Businesses
Pet Businesses,Pet Service Businesses
Pet Grooming Businesses,Pet Service Businesses
"Pet Grooming and Boarding, Kennels, Catteries",Pet Service Businesses
Pet Service Businesses,Pet Service Businesses
Pet Businesses,Pet Service Businesses
Pet Grooming Businesses,Pet Service Businesses
"Pet Grooming and Boarding, Kennels, Catteries",Pet Service Businesses
Pet Service Businesses,Pet Service Businesses
Veterinary Businesses,Pet Service Businesses
Veterinary Clinics,Pet Service Businesses
Plumbing,Plumbing
Plumbing Businesses,Plumbing
Plumbing Contractors,Plumbing
Plumbing,Plumbing
Plumbing Businesses,Plumbing
Plumbing Contractors,Plumbing
Civil Engineering Businesses,Professional Service Businesses
Consultancy Businesses,Professional Service Businesses
Engineering Businesses,Professional Service Businesses
Engineering Consultancies,Professional Service Businesses
Engineering Manufacturing Businesses,Professional Service Businesses
Engineering and Surveying,Professional Service Businesses
"Law Firms, Barristers, Solicitors, Legal Services",Professional Service Businesses
Lawyers Legal Firms,Professional Service Businesses
Management Consultancies,Professional Service Businesses
"Management Consulting, Consultancies",Professional Service Businesses
Professional Service Businesses,Professional Service Businesses
Management Consultancies,Professional Service Businesses
"Management Consulting, Consultancies",Professional Service Businesses
Professional Service Businesses,Professional Service Businesses
Surveyors,Professional Service Businesses
Technical Service Businesses,Professional Service Businesses
Magazine Publishing,Publishing Businesses
Magazines and Newspapers,Publishing Businesses
Publishing Businesses,Publishing Businesses
Magazine Publishing,Publishing Businesses
Magazines and Newspapers,Publishing Businesses
Publishing Businesses,Publishing Businesses
Home Inspection Services,Real Estate
Investment Opportunities,Real Estate
Land,Real Estate
Management Rights Opportunities,Real Estate
Offices And Business Centers,Real Estate
Other Real Estate,Real Estate
Property Agencies,Real Estate
Property Management,Real Estate
Property Management Businesses,Real Estate
Property Services,Real Estate
Real Estate,Real Estate
Real Estate Development Opportunities,Real Estate
Residential Properties,Real Estate
RV Parks,Real Estate
Management Rights Opportunities,Real Estate
Offices And Business Centers,Real Estate
Other Real Estate,Real Estate
Property Agencies,Real Estate
Property Management,Real Estate
Property Management Businesses,Real Estate
Property Services,Real Estate
Real Estate,Real Estate
Real Estate Development Opportunities,Real Estate
Residential Properties,Real Estate
RV Parks,Real Estate
Cell Phone and Computer Repair and Service Businesses,Repair Services
Heavy Machinery Businesses,Repair Services
Machinery & Equipment,Repair Services
Machinery Repair And Maintenance Businesses,Repair Services
Repair Services,Repair Services
Machinery & Equipment,Repair Services
Machinery Repair And Maintenance Businesses,Repair Services
Repair Services,Repair Services
American Restaurants,Restaurants
Asian Restaurants,Restaurants
Bagel Shops,Restaurants
Bakeries,Restaurants
Bakeries and Bake Shops,Restaurants
Bakers And Confectioners,Restaurants
Bistros,Restaurants
Cafe Bars,Restaurants
Cafes,Restaurants
Chinese Restaurants,Restaurants
Coffee Shops and Cafes,Restaurants
"Coffee Shops, Cafes, Tea Rooms",Restaurants
Delicatessens,Restaurants
Delis and Sandwich Shops,Restaurants
Diners,Restaurants
European Restaurants,Restaurants
Fast Food Restaurants,Restaurants
Fine Dining Restaurants,Restaurants
Greek Restaurant,Restaurants
Greek Restaurants,Restaurants
Ice Cream and Frozen Yogurt Shops,Restaurants
"Ice Cream, Yogurt, and Smoothie Shops",Restaurants
Indian Restaurants,Restaurants
Italian Restaurants,Restaurants
Juice Bars,Restaurants
Mexican Restaurants,Restaurants
Middle Eastern Restaurants,Restaurants
Miscellaneous Restaurant and Bars,Restaurants
Other Restaurants,Restaurants
Pizza,Restaurants
Pizza Restaurants,Restaurants
Restaurants,Restaurants
Restaurants and Food Businesses,Restaurants
"Sandwich Shops, Bagel Shops, Sub Shops",Restaurants
Mexican Restaurants,Restaurants
Middle Eastern Restaurants,Restaurants
Miscellaneous Restaurant and Bars,Restaurants
Other Restaurants,Restaurants
Pizza,Restaurants
Pizza Restaurants,Restaurants
Restaurants,Restaurants
Restaurants and Food Businesses,Restaurants
"Sandwich Shops, Bagel Shops, Sub Shops",Restaurants
Snack Bars,Restaurants
Sushi Seafood Restaurants,Restaurants
Sushi and Japanese Restaurants,Restaurants
Take Aways,Restaurants
"Take Out, Take Away",Restaurants
Thai Restaurants,Restaurants
Wine Bars,Restaurants
Bargain Stores,Retail Businesses
Bicycle Shops,Retail Businesses
Bike Shops,Retail Businesses
Book Shops,Retail Businesses
Bridal Shops,Retail Businesses
Card And Gift Shops,Retail Businesses
Card and Gift Shops,Retail Businesses
Childrens Wear Shops,Retail Businesses
Clothing Businesses,Retail Businesses
Clothing Wholesalers,Retail Businesses
Clothing and Accessory Stores,Retail Businesses
Clothing and Clothing Accessories,Retail Businesses
Convenience Stores,Retail Businesses
"Convenience Stores, C-Stores",Retail Businesses
Craft And Hobby Businesses,Retail Businesses
Curtain And Blinds Businesses,Retail Businesses
Dollar Stores,Retail Businesses
Drug Stores And Pharmacies,Retail Businesses
Electrical Appliance Retailers,Retail Businesses
Electronics and Appliance Stores,Retail Businesses
Florists,Retail Businesses
Florists and Flower Shops,Retail Businesses
Framing Businesses,Retail Businesses
Furniture Businesses,Retail Businesses
Furniture Stores,Retail Businesses
Furniture and Furnishings Stores,Retail Businesses
Furniture and Related Products,Retail Businesses
Gas Petrol Service Stations,Retail Businesses
Gas Stations,Retail Businesses
"Gas Stations, Truck Stops, Petrol Stations",Retail Businesses
General Retail Businesses,Retail Businesses
Grocers Fruit And Veg Markets,Retail Businesses
"Grocers, Fruit & Vegetable Stores",Retail Businesses
Grocery Stores and Supermarkets,Retail Businesses
Health And Beauty Supply Businesses,Retail Businesses
Health Food Shops,Retail Businesses
Health Food and Nutrition Businesses,Retail Businesses
Health and Beauty Products,Retail Businesses
Hobby and Crafts Stores,Retail Businesses
Home Accessories Businesses,Retail Businesses
Home Furnishings,Retail Businesses
Jewellers,Retail Businesses
Jewelry Stores,Retail Businesses
Ladies Wear Shops,Retail Businesses
Liquor Stores,Retail Businesses
Liquor Stores And Off Licences,Retail Businesses
"Liquor Stores, Off-Licences, Wine Shops",Retail Businesses
Mens Wear Shops,Retail Businesses
Music Stores,Retail Businesses
Office Furniture Businesses,Retail Businesses
Other Food and Grocery Stores,Retail Businesses
Other Retailing,Retail Businesses
Party Rental and Supply Stores,Retail Businesses
Party Stores,Retail Businesses
Pet Shops,Retail Businesses
Pet Shops and Supplies,Retail Businesses
Pet Stores and Supply Businesses,Retail Businesses
Pharmacies,Retail Businesses
"Pharmacies, Drug Stores, Chemists",Retail Businesses
Retail Businesses,Retail Businesses
Retail Shops To Lease,Retail Businesses
Liquor Stores,Retail Businesses
Liquor Stores And Off Licences,Retail Businesses
"Liquor Stores, Off-Licences, Wine Shops",Retail Businesses
Mens Wear Shops,Retail Businesses
Music Stores,Retail Businesses
